Order ID,Customer Name,Category,Sub Category,City,Order Date,Region,Sales,Discount,Profit,State
OD1,Harish,Oil & Masala,Masalas,Rourkela,21-05-2015,East,1254,0.12,401.28,Odhisa
OD2,Sudha,Beverages,Health Drinks,Surat,07-09-2016,West,749,0.18,149.8,Gujarat
OD3,Hussain,Food Grains,Atta & Flour,Trivandrum,10-04-2018,South,2360,0.21,165.2,Kerela
OD4,Jackson,Fruits & Veggies,Fresh Vegetables,Pune,25-04-2018,West,896,0.25,89.6,Maharashtra
OD5,Ridhesh,Food Grains,Organic Staples,Rajkot,02-10-2017,West,2355,0.26,918.45,Gujarat
OD6,Adavan,Food Grains,Organic Staples,Pune,27-10-2018,West,2305,0.26,322.7,Maharashtra
OD7,Jonas,Fruits & Veggies,Fresh Vegetables,Dhanbad,07-11-2017,East,826,0.33,346.92,Jharkhand
OD8,Hafiz,Fruits & Veggies,Fresh Fruits,Madurai,18-10-2017,South,1847,0.32,147.76,Tamil Nadu
OD9,Hafiz,Bakery,Biscuits,Jhansi,05-06-2016,East,791,0.23,181.93,Jharkhand
OD10,Krithika,Bakery,Cakes,Chandigarh,28-09-2017,North,1795,0.27,484.65,Punjab
OD11,Ganesh,Snacks,Chocolates,Jodhpur,06-06-2016,West,1903,0.13,437.69,Rajasthan
OD12,Yadav,"Eggs, Meat & Fish",Eggs,Varanasi,03-12-2017,North,701,0.1,308.44,Uttar Pradesh
OD13,Sharon,Snacks,Cookies,Nashik,15-04-2018,West,1659,0.19,315.21,Maharashtra
OD14,Peer,Fruits & Veggies,Fresh Vegetables,Amritsar,28-04-2017,North,1277,0.25,63.85,Punjab
OD15,Sundar,"Eggs, Meat & Fish",Chicken,Amritsar,22-11-2016,North,831,0.22,207.75,Punjab
OD16,Ramesh,Oil & Masala,Edible Oil & Ghee,Surat,22-11-2016,West,1440,0.11,100.8,Gujarat
OD17,Alan,Bakery,Cakes,Pune,07-11-2017,West,1678,0.28,318.82,Maharashtra
OD18,Arutra,Beverages,Health Drinks,Moradabad,13-05-2015,North,1617,0.19,113.19,Uttar Pradesh
